Case Ref No,Advisory Letter,Directions,Formal Warning,PINS,Prosecution
00521-2017,,,1,,
00521-2018,,3,,,
00522-2019,,,1,,
00523-2017,,,3,,
00524-2019,1,1,1,,
00525-2018,1,,,,
00526-2014,1,2,1,1,
00526-2020,1,,,,
00527-2018,3,,1,,
00528-2017,1,,,,
00528-2019,,,,2,
00529-2017,1,,,,
00529-2019,,,2,,
00530-2017,,,1,,
00530-2018,1,,,,
00530-2019,1,,,1,
00531-2016,,,,1,
00531-2017,2,,,,
00531-2018,1,5,2,,
00532-2019,2,,,,
00532-2020,2,,,,
00533-2018,,,1,,
00534-2019,,1,1,,
00535-2018,,,1,,
00536-2020,1,,,1,
00537-2016,,,,,1
00537-2019,,,1,,
00538-2017,1,,,,
00538-2018,1,,,,
00538-2019,1,,,,
00539-2019,1,,,1,
00540-2019,,2,,,
00540-2020,1,,,1,
00542-2019,,,1,,
00543-2019,1,,,1,
00544-2018,,3,,,
00545-2018,1,,,,
00547-2016,1,1,,1,
00547-2018,1,,,,
00548-2016,2,,,2,
00549-2019,,,1,,
00550-2018,,1,,,
00551-2018,1,,,,
00551-2019,,,1,,
00554-2018,1,,,,
00554-2019,,,1,,
00555-2019,1,,,,
00559-2019,2,1,1,1,
00560-2018,,,1,,
00560-2019,,,1,,
00562-2018,,3,1,,
00564-2019,,,1,,
00564-2020,,,1,,
00565-2019,,,1,,
00566-2018,1,,,,
00567-2018,1,,,,
00567-2019,1,,1,,
00567-2020,,,1,,
00568-2019,1,,2,,
00568-2020,,,1,1,
00569-2016,1,1,1,1,
00570-2018,,2,2,,
00570-2019,2,1,,1,
00572-2018,1,,,,
00572-2019,,,,1,
00573-2019,,,1,,
00574-2018,2,,,,
00575-2018,,,1,,
00575-2020,,1,,,
00577-2020,,,,1,
00581-2018,1,,,,
00583-2018,2,,,,
00584-2018,1,,,,
00586-2020,1,,1,,
00587-2018,1,,,,
00588-2020,,1,,,
00589-2019,1,,,,
00590-2018,2,,,,
00590-2019,1,,,,
00591-2020,2,,,,
00592-2018,1,,,,
00593-2018,1,,,,
00593-2020,,,1,,
00594-2018,,,,2,
00594-2019,2,,,,
00594-2020,,,1,,
00595-2018,1,,,,
00595-2019,1,,,,
00596-2019,1,,,,
00597-2018,1,,,,
00597-2020,1,,,,
00598-2019,,,1,2,
00600-2014,1,,,,
00600-2020,1,,,,
00601-2014,,1,1,1,
00601-2019,1,,,,
00601-2020,1,,,,
00603-2018,1,,,,
00603-2019,2,,,,
00605-2014,,1,,,
00606-2020,1,,,,
00608-2020,1,,,,
00610-2018,1,,,,
00612-2018,1,,,1,
00612-2019,1,,,,
00613-2019,1,,,,
00614-2020,1,,,,
00616-2018,,2,,,
00617-2020,1,,,,
00618-2018,1,,,,
00620-2018,1,,,,
00621-2018,,1,,,
00621-2019,1,1,,,
00623-2018,2,,,,
00623-2019,,,1,,
00624-2018,2,,,,
00625-2018,,,3,,
00625-2019,1,,,,
00626-2019,,1,,2,
00627-2019,2,,,,
00629-2018,,,1,,
00631-2019,,,1,,
00632-2020,1,,,,
00633-2020,1,,,,
00637-2019,,2,1,,
00638-2020,,,,1,
00639-2018,,,2,,
00640-2019,,,,2,
00641-2018,,,,,
00642-2020,2,,,,
00646-2020,2,,,,
00647-2018,,,1,,
00647-2019,1,,,,
00650-2018,2,,,,
00650-2020,,1,2,,
00651-2019,2,,,,
00654-2019,,1,,1,
00659-2018,1,,1,,
00659-2019,1,,,,
00661-2019,,1,1,,
00664-2019,1,,,1,
00664-2020,1,,,,
00667-2019,1,,,1,
00669-2018,2,,,,
00670-2019,1,,,,
00671-2015,2,,,,
00671-2018,1,,,,
00672-2015,2,,,,
00672-2019,1,,,,
00674-2020,,,1,,
00675-2018,1,,,,
00676-2020,,,1,,
00678-2018,1,,,,
00681-2018,1,,,,
00681-2020,2,,,,
00682-2019,1,,,,
00682-2020,2,,,,
00683-2019,1,,,,
00684-2018,1,1,,,
00684-2019,1,,,,
00686-2018,1,,,,
00687-2019,,,2,,
00687-2020,1,,,,
00690-2020,1,,,,
00692-2018,,,1,,
00694-2018,1,,,,
00695-2020,1,,,,
00697-2020,1,,,,
00700-2018,2,,,,
00701-2020,,,1,,
00706-2018,1,,,,
00706-2019,,,1,,
00706-2020,2,,,,
00707-2018,,,1,,
00708-2018,1,2,,1,
00709-2019,,,1,,
00709-2020,1,,,,
00710-2018,1,,,,
00711-2018,,,1,,
00712-2019,,,1,,
00714-2019,2,,,,
00715-2018,1,,1,,
00715-2020,1,,,,
00716-2019,1,,,,
00716-2020,,,,1,
00717-2019,1,,,,
00718-2019,1,,,3,
00720-2018,2,,,,
00720-2019,2,,,,
00722-2018,1,,,,
00724-2019,1,,,,
00727-2018,1,,,,
00727-2020,1,,,,
00729-2015,1,3,,,
00729-2018,1,,,,
00729-2020,2,2,,,
00731-2018,1,,,,
00732-2018,2,,,,
00734-2019,,,1,,
00735-2020,,,,1,
00739-2020,1,,,,
00740-2019,1,,,,
00742-2019,1,,,,
00743-2018,,,,2,
00743-2019,,,1,,
00751-2019,1,1,1,,
00753-2018,1,,,1,
00753-2019,1,,,,
00754-2019,1,,,,
00756-2019,2,,,,
00756-2020,1,,,,
00758-2018,2,1,,,
00759-2018,1,,,,
00760-2015,1,,,,
00761-2019,2,,,,
00762-2019,1,,,,
00762-2020,,,1,,
00763-2015,,1,,,
00763-2020,1,,,,
00764-2019,,,,1,
00765-2020,1,,,,
00768-2018,1,,,,
00771-2020,1,,,,
00772-2018,,,1,,
00773-2018,1,,,,
00775-2018,1,,,,
00775-2020,1,,,,
00776-2020,1,,,,
00778-2019,1,,,,
00779-2020,1,,,,
00781-2020,1,,,,
00782-2019,1,,,,
00783-2015,,,,1,
00785-2018,1,,,,
00786-2020,2,,,,
00787-2018,1,1,,,
00789-2019,,,1,,
00791-2019,,,1,,
00793-2018,,,1,,
00794-2018,1,,,,
00795-2019,,,1,,
00796-2018,,,1,,
00799-2018,,,1,,
00801-2018,1,,,,
00802-2019,1,,,,
00803-2019,2,,,,
00804-2018,,,1,,
00806-2018,1,,,,
00807-2018,2,,,,
00814-2018,3,1,,,
00816-2018,1,,,,
00818-2018,1,,,,
00819-2018,,,1,,
00820-2018,1,,,,
00822-2020,,,1,,
00823-2015,,,,1,
00824-2015,3,,,,
00824-2018,,,1,2,
00825-2015,,,1,,
00825-2018,,,,1,
00827-2020,5,2,2,,
00829-2018,1,,,,
00830-2018,,,1,,
00831-2018,1,1,1,,
00834-2020,,,1,,
00837-2018,2,,,,
00838-2018,2,1,,1,
00839-2019,,1,,1,
00842-2020,2,,,,
00844-2018,1,,,,
00844-2020,,,1,,
00846-2018,1,,,,
00848-2018,2,3,,3,
00849-2018,,,2,,
00851-2018,,1,,,
00851-2020,,,1,,
00852-2018,2,,2,,
00860-2018,1,,,,
00861-2018,,1,,,
00862-2018,1,,,,
00866-2018,1,,,,
00867-2019,1,,,,
00868-2019,,1,,,
00869-2019,2,,,,
00871-2019,,1,1,,
00871-2020,,,1,,
00876-2020,1,,,,
00877-2019,2,,,,
00878-2020,1,,,,
00881-2018,,,,2,
00888-2018,1,,,,
00888-2020,,,,2,
00900-2019,1,,,,
00901-2019,1,,,,
00905-2020,2,,,,
00907-2019,,,1,,
00909-2019,1,,,,
00914-2020,,1,,,
00915-2019,2,,,,
00917-2019,,,1,,
00917-2020,1,,,,
00920-2019,,,1,,
00921-2019,2,,,,
00922-2019,2,,,,
00922-2020,,,1,,
00928-2019,3,1,,2,
00929-2019,1,,,,
00930-2019,,,1,,
00932-2020,,,1,,
00934-2019,1,,,,
00936-2019,1,,,,
00938-2019,,1,,1,
00940-2019,1,,,,
00941-2019,,,2,,
00943-2019,1,,,,
00945-2019,1,,,,
00949-2019,1,,,,
00950-2020,1,,,,
00954-2019,,,1,,
00957-2019,,1,,,
00969-2020,1,,,,
00970-2019,,,1,,
00971-2019,,4,,,
00973-2019,,,1,,
00975-2019,,,,1,
00980-2020,1,,1,,
00986-2019,1,,,,
00987-2019,,,1,,
00989-2019,,,1,,
00992-2019,,,1,,
00995-2019,1,,,,
01004-2020,,,1,,
01011-2020,,,1,,
01029-2020,,,1,,
01041-2019,,,1,,
01046-2019,1,,,,
01047-2019,,,1,,
01047-2020,,,1,,
01059-2020,,,1,,
01081-2013,,1,,,
01082-2019,1,,,,
01089-2020,,3,,1,
01092-2019,,,,1,
01093-2020,1,,,,
01098-2020,1,,,,
01107-2020,,,1,,
01108-2020,,,,1,
01109-2019,,1,,,
01118-2020,,,1,,
01120-2020,,,,2,
01123-2019,2,1,,1,
01124-2019,,,1,,
01130-2019,2,,,,
01147-2020,1,,,1,
01158-2019,,,,1,
01158-2020,1,,,,
01161-2020,1,,,,
01166-2020,,,1,,
01170-2019,,1,,,
01171-2019,1,,,,
01172-2019,,,1,,
01174-2020,1,,,,
01175-2019,,,1,1,
01176-2020,,,,,
01177-2019,1,,,3,
01180-2020,,,1,,
01183-2020,1,,,,
01184-2020,4,,,,
01189-2019,,2,,,
01200-2019,1,,,,
01201-2019,,,,1,
01211-2019,,,1,,
01214-2019,,,1,,
01219-2020,1,,,,
01223-2019,1,,,,
01227-2019,1,,,,
01227-2020,,,,1,
01230-2019,3,,,,
01231-2020,,,1,,
01233-2019,,,1,,
01235-2019,2,,,,
01238-2019,,,,1,
01243-2019,,1,,,
01245-2019,1,,1,,
01246-2019,1,,,,
01248-2019,1,,,,
01253-2019,,1,,,
01256-2020,1,,,,
01259-2019,,1,,,
01262-2019,,,1,,
01264-2019,,,1,,
01270-2019,1,1,,2,
01276-2019,1,,,,
01283-2019,1,,,,
01289-2019,,,1,,
01302-2019,1,2,,,
01305-2019,,,1,1,
01311-2020,,,,1,
01312-2019,1,,,,
01322-2019,,,1,,
01323-2019,,,1,,
01324-2019,,,1,,
01325-2019,,,1,,
01326-2019,,,1,,
01327-2019,,,1,,
01328-2019,,,1,,
01329-2019,,,1,,
01331-2019,1,,,,
01333-2019,,,2,,
01335-2019,,,1,,
01336-2019,,,2,,
01337-2019,,,2,,
01339-2019,,,1,,
01340-2019,,,1,,
01345-2020,1,,,,
01346-2019,,,2,,
01349-2019,1,,,,
01351-2019,,,2,,
01352-2019,,,3,,
01353-2019,,,2,,
01355-2019,1,,,,
01356-2019,,,1,,
01357-2019,,,1,,
01361-2019,,,1,1,
01362-2019,1,,,,
01363-2019,1,,,,
01364-2019,1,,,,
01365-2019,,,1,1,
01366-2019,1,,,,
01369-2019,,,1,,
01370-2019,1,,,,
01371-2019,1,,,,
01372-2019,1,,,,
01373-2019,1,,,,
01374-2019,,,1,,
01375-2019,1,,,,
01376-2019,1,,,,
01378-2019,1,,,,
01379-2019,1,,,,
01379-2020,1,,1,,
01380-2019,1,,,,
01381-2019,1,,,,
01382-2019,1,,,,
01383-2019,1,,,,
01384-2019,1,,,,
01385-2019,1,,,,
01389-2019,1,,,,
01400-2019,2,,,,
01405-2019,,,1,,
01406-2019,,,1,,
01408-2019,1,,,,
01417-2019,1,,,,
01421-2019,2,,,,
01422-2019,1,,,,
01424-2019,1,,,,
01425-2019,1,,,,
01427-2019,1,,,,
01428-2019,1,,,,
01430-2019,1,,,,
01431-2019,1,,,,
01433-2019,1,,,,
01436-2019,1,,,,
01458-2020,,,,1,
01459-2020,1,,,,
01462-2020,1,,,,
01463-2020,1,,,,
01464-2020,,,,1,
01469-2020,,,,1,
01497-2020,,,1,,
01505-2020,1,,,,
01527-2020,1,,,,
01555-2020,1,,,,
01717-2020,,,1,,
01746-2020,,1,,,
01787-2020,1,,,,
01864-2020,1,,,,
01870-2020,,,1,,
01877-2020,,,1,,
01881-2020,,,1,,
01882-2020,,,1,,
01883-2020,,,1,,
01896-2020,1,,,,
01899-2020,,,1,,
01902-2020,,,1,,
01905-2020,,,1,,
01906-2020,1,,,,
01907-2020,,,2,,
01908-2020,,,2,,
01919-2020,,,1,1,
01923-2020,,,1,,
01931-2020,,,1,,
01934-2020,1,,,,
01943-2020,1,,,,
01947-2020,,1,,,
01952-2020,,,,1,
01962-2020,,,1,,
02079-2020,1,,,,
02107-2020,2,,,,
02123-2020,,,1,,
02177-2020,1,,1,,
02208-2020,2,,,,
02214-2020,1,,,,
02236-2020,,,1,1,
02264-2020,,,1,,
02266-2020,,,1,,
02320-2020,2,,,,
02652-2020,,,1,,
02661-2020,2,,,,
02669-2020,,,1,,
02692-2020,,,1,,
02783-2020,1,,,,
00113-2017,,,,,1
00445-2016,,,,,1
00455-2014,,,,,1
00645-2015,,,,,1
00658-2015,,,,,1
